date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-16,0.0,0.0,0.0,0.0,0.0,-0.00787329198097586,0.0,0.0,0.0,
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.010786675663502887,0.0,0.0,0.0,
2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0,-0.029312495864104893,0.0,0.0,
2020-03-20,0.0,0.0,0.0,0.007734160839428572,0.0,0.0,0.0,0.0,0.0,
2020-03-21,0.0,0.0,-0.04768729131657268,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-24,0.0,0.0,0.0,0.0,0.0,-0.012556898198405886,0.0,0.0,-0.018088139579180762,
2020-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-28,0.0,0.0,0.026631896255790766,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-30,0.0,0.0,0.0,0.0,-0.036945264386234467,0.003368591385366937,0.0,0.0,0.0,
2020-03-31,0.0,0.0,0.0,0.0,-0.010595727515384068,0.011049792900846622,0.0,0.0,0.0,
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-03,0.0,0.0,0.0,0.0,0.0,-0.01290136754757909,0.0,0.0,0.0,
2020-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.056699472637935955,
2020-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-09,0.0,0.0,0.0,0.0,-0.02492701205285064,0.0,0.0,0.0,0.0,
2020-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-14,0.0,0.0,0.0,0.0,0.0,0.05044577671706918,0.0,0.0,0.0,
2020-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10037149136006507,
2020-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020154609547450075,
2020-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
