date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-10,0.0,0.0,0.0,9.255831173639393,0.0,0.0,0.0,0.0,0.0,
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.05653479566523,0.0,
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-16,0.0,0.0,0.0,0.0,0.0,15.730690577316343,10.033109260559849,26.11306959133046,0.0,
2020-03-17,0.0,0.0,10.270103728047653,0.0,0.0,15.730690577316343,0.0,0.0,0.0,
2020-03-18,0.0,0.0,0.0,9.255831173639393,9.417969485778867,7.865345288658172,0.0,0.0,0.0,
2020-03-19,0.0,0.0,10.270103728047653,9.255831173639393,0.0,7.865345288658172,0.0,0.0,0.0,
2020-03-20,0.0,0.0,20.540207456095306,0.0,0.0,47.192071731949035,40.132437042239395,0.0,19.6811651249754,
2020-03-21,0.0,0.0,10.270103728047653,0.0,0.0,7.865345288658172,0.0,0.0,0.0,
2020-03-22,0.0,0.0,0.0,9.255831173639393,0.0,0.0,0.0,0.0,0.0,
2020-03-23,0.0,0.0,0.0,9.255831173639393,0.0,0.0,10.033109260559849,0.0,0.0,
2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0,10.033109260559849,0.0,0.0,
2020-03-25,0.0,0.0,0.0,9.255831173639393,0.0,0.0,10.033109260559849,0.0,0.0,
2020-03-26,0.0,0.0,10.270103728047653,0.0,0.0,7.865345288658172,0.0,13.05653479566523,0.0,
2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-28,0.0,0.0,0.0,9.255831173639393,0.0,0.0,0.0,0.0,0.0,
2020-03-29,0.0,0.0,0.0,0.0,0.0,7.865345288658172,10.033109260559849,0.0,0.0,
2020-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.05653479566523,0.0,
2020-03-31,0.0,13.099292638197538,0.0,0.0,0.0,7.865345288658172,0.0,0.0,0.0,
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,10.033109260559849,0.0,0.0,
2020-04-02,0.0,0.0,0.0,0.0,0.0,7.865345288658172,0.0,0.0,0.0,
2020-04-03,0.0,0.0,0.0,0.0,0.0,0.0,10.033109260559849,0.0,0.0,
2020-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.05653479566523,0.0,
2020-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-06,0.0,0.0,0.0,9.255831173639393,18.835938971557734,0.0,0.0,0.0,0.0,
2020-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-08,0.0,0.0,20.540207456095306,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-09,0.0,0.0,0.0,9.255831173639393,0.0,7.865345288658172,0.0,0.0,0.0,
2020-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-12,0.0,0.0,0.0,0.0,0.0,7.865345288658172,10.033109260559849,0.0,0.0,
2020-04-13,0.0,0.0,10.270103728047653,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-15,0.0,0.0,0.0,0.0,0.0,0.0,10.033109260559849,0.0,0.0,
2020-04-16,0.0,0.0,0.0,0.0,9.417969485778867,0.0,0.0,0.0,0.0,
2020-04-17,0.0,0.0,10.270103728047653,0.0,0.0,0.0,0.0,0.0,0.0,
